dataset,precision,recall,f1
SIR01_sl1000_mr075_nv10_2,1,0.636,0.778
SIR01_sl1000_mr075_nv10_20,0.75,0.7,0.724
SIR01_sl1000_mr075_nv10_3,0.545,0.545,0.545
SIR01_sl1000_mr075_nv10_4,0.868,0.868,0.868
SIR01_sl1000_mr075_nv10_5,0.862,0.781,0.82
SIR01_sl1000_mr075_nv10_6,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_8,0.643,0.562,0.6
SIR01_sl1000_mr075_nv10_9,0.75,0.667,0.706
SIR01_sl1000_mr15_nv10_1,0.708,0.54,0.613
SIR01_sl1000_mr15_nv10_10,0.786,0.688,0.733
SIR01_sl1000_mr15_nv10_11,0.667,0.667,0.667
SIR01_sl1000_mr15_nv10_12,0.737,0.583,0.651
SIR01_sl1000_mr15_nv10_13,0.846,0.647,0.733
SIR01_sl1000_mr15_nv10_14,1,1,1
SIR01_sl1000_mr15_nv10_15,0.636,0.553,0.592
SIR01_sl1000_mr15_nv10_16,0.857,0.857,0.857
SIR01_sl1000_mr15_nv10_17,0.941,0.8,0.865
SIR01_sl1000_mr15_nv10_18,0.701,0.681,0.691
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_2,0.727,0.615,0.667
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_3,0.782,0.729,0.754
SIR01_sl1000_mr15_nv10_4,0.667,0.5,0.571
SIR01_sl1000_mr15_nv10_5,0.9,0.9,0.9
SIR01_sl1000_mr15_nv10_6,0.714,0.714,0.714
SIR01_sl1000_mr15_nv10_7,0.814,0.7,0.753
SIR01_sl1000_mr15_nv10_8,0.857,0.6,0.706
SIR01_sl1000_mr15_nv10_9,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_1,0.759,0.688,0.721
SIR01_sl1000_mr15_nv20_10,0.769,0.769,0.769
SIR01_sl1000_mr15_nv20_11,0.85,0.864,0.857
SIR01_sl1000_mr15_nv20_12,0.75,0.6,0.667
SIR01_sl1000_mr15_nv20_13,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.455,0.357,0.4
SIR01_sl1000_mr15_nv20_16,0.9,0.857,0.878
SIR01_sl1000_mr15_nv20_17,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_18,0.933,0.933,0.933
SIR01_sl1000_mr15_nv20_19,0.872,0.804,0.837
SIR01_sl1000_mr15_nv20_2,0.714,0.5,0.588
SIR01_sl1000_mr15_nv20_20,0.857,0.857,0.857
SIR01_sl1000_mr15_nv20_3,0.8,0.8,0.8
SIR01_sl1000_mr15_nv20_4,0.81,0.739,0.773
SIR01_sl1000_mr15_nv20_5,0.7,0.7,0.7
SIR01_sl1000_mr15_nv20_6,0.875,0.875,0.875
SIR01_sl1000_mr15_nv20_7,0.885,0.821,0.852
SIR01_sl1000_mr15_nv20_8,0.864,0.792,0.826
SIR01_sl1000_mr15_nv20_9,0.87,0.769,0.816
SIR01_sl1000_mr15_nv5_1,0.696,0.571,0.627
SIR01_sl1000_mr15_nv5_10,1,0.909,0.952
SIR01_sl1000_mr15_nv5_11,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_12,0.556,0.435,0.488
SIR01_sl1000_mr15_nv5_13,0.812,0.812,0.812
SIR01_sl1000_mr15_nv5_14,0.7,0.636,0.667
SIR01_sl1000_mr15_nv5_15,0.75,0.733,0.742
SIR01_sl1000_mr15_nv5_16,0.444,0.444,0.444
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,1,0.778,0.875
SIR01_sl1000_mr15_nv5_19,0.65,0.619,0.634
SIR01_sl1000_mr15_nv5_2,0.676,0.657,0.667
SIR01_sl1000_mr15_nv5_20,0.867,0.765,0.812
SIR01_sl1000_mr15_nv5_3,0.5,0.444,0.471
SIR01_sl1000_mr15_nv5_4,0.6,0.48,0.533
SIR01_sl1000_mr15_nv5_5,0.545,0.545,0.545
SIR01_sl1000_mr15_nv5_6,0.667,0.522,0.585
SIR01_sl1000_mr15_nv5_7,0.5,0.5,0.5
SIR01_sl1000_mr15_nv5_8,0.375,0.375,0.375
SIR01_sl1000_mr15_nv5_9,0.711,0.574,0.635
SIR01_sl1000_mr3_nv10_1,0.828,0.8,0.814
SIR01_sl1000_mr3_nv10_10,0.875,0.778,0.824
SIR01_sl1000_mr3_nv10_11,0.826,0.667,0.738
SIR01_sl1000_mr3_nv10_12,0.8,0.706,0.75
SIR01_sl1000_mr3_nv10_13,0.75,0.667,0.706
SIR01_sl1000_mr3_nv10_14,0.852,0.821,0.836
SIR01_sl1000_mr3_nv10_15,0.667,0.444,0.533
SIR01_sl1000_mr3_nv10_16,0.862,0.781,0.82
SIR01_sl1000_mr3_nv10_17,0.8,0.8,0.8
SIR01_sl1000_mr3_nv10_18,0.792,0.792,0.792
SIR01_sl1000_mr3_nv10_19,0.7,0.467,0.56
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_20,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_3,0.7,0.7,0.7
SIR01_sl1000_mr3_nv10_4,0.917,0.917,0.917
SIR01_sl1000_mr3_nv10_5,0.769,0.714,0.741
SIR01_sl1000_mr3_nv10_6,0.694,0.63,0.66
SIR01_sl1000_mr3_nv10_7,0.727,0.696,0.711
SIR01_sl1000_mr3_nv10_8,1,0.7,0.824
SIR01_sl1000_mr3_nv10_9,0.85,0.586,0.694
SIR01_sl250_mr15_nv10_1,0.619,0.765,0.684
SIR01_sl250_mr15_nv10_10,0.667,0.643,0.655
SIR01_sl250_mr15_nv10_11,0.545,0.5,0.522
SIR01_sl250_mr15_nv10_12,0.55,0.579,0.564
SIR01_sl250_mr15_nv10_13,0.4,0.462,0.429
SIR01_sl250_mr15_nv10_14,0.444,0.533,0.485
SIR01_sl250_mr15_nv10_15,0.429,0.375,0.4
SIR01_sl250_mr15_nv10_16,0.64,0.696,0.667
SIR01_sl250_mr15_nv10_17,1,1,1
SIR01_sl250_mr15_nv10_18,0.5,0.65,0.565
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8
SIR01_sl250_mr15_nv10_2,0.545,0.667,0.6
SIR01_sl250_mr15_nv10_20,0.5,0.571,0.533
SIR01_sl250_mr15_nv10_3,0.5,0.643,0.563
SIR01_sl250_mr15_nv10_4,0.538,0.583,0.56
SIR01_sl250_mr15_nv10_5,0.8,0.889,0.842
SIR01_sl250_mr15_nv10_6,0.422,0.442,0.432
SIR01_sl250_mr15_nv10_7,0.61,0.61,0.61
SIR01_sl250_mr15_nv10_8,0.625,0.556,0.588
SIR01_sl250_mr15_nv10_9,0.625,0.5,0.556
SIR01_sl500_mr15_nv10_1,0.667,0.4,0.5
SIR01_sl500_mr15_nv10_10,0.538,0.538,0.538
SIR01_sl500_mr15_nv10_11,0.706,0.706,0.706
SIR01_sl500_mr15_nv10_12,0.667,0.667,0.667
SIR01_sl500_mr15_nv10_13,0.5,0.571,0.533
SIR01_sl500_mr15_nv10_14,0.568,0.538,0.553
SIR01_sl500_mr15_nv10_15,0.625,0.667,0.645
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.769,0.769,0.769
SIR01_sl500_mr15_nv10_18,0.583,0.56,0.571
SIR01_sl500_mr15_nv10_19,0.8,0.741,0.769
SIR01_sl500_mr15_nv10_2,0.667,0.667,0.667
SIR01_sl500_mr15_nv10_20,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_3,0.722,0.684,0.703
SIR01_sl500_mr15_nv10_4,0.8,0.735,0.766
SIR01_sl500_mr15_nv10_5,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_6,0.935,1,0.967
SIR01_sl500_mr15_nv10_7,0.75,0.857,0.8
SIR01_sl500_mr15_nv10_8,0.8,0.5,0.615
SIR01_sl500_mr15_nv10_9,0.815,0.772,0.793
,0.732876785714286,0.733189285714287,0.730128571428572
