strain,nextstrain_besttree,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_461276,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,France,Netherlands,Netherlands,China,Netherlands,Netherlands
EPI_ISL_461101,Netherlands,Netherlands,Luxembourg,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,China,Netherlands,Netherlands
EPI_ISL_438032,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Malaysia,Austria,Netherlands,Taiwan,Netherlands,Netherlands
EPI_ISL_422805,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,China,Netherlands,Netherlands
EPI_ISL_422893,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,USA,China,Netherlands,SouthKorea,Netherlands,Netherlands
EPI_ISL_455374,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_455369,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_417064,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434563,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434564,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_404253,China,China,Australia,China,USA,Singapore,China,USA,China,USA,China,China,USA
EPI_ISL_410532,Japan,China,Japan,Japan,UnitedArabEmirates,Japan,USA,China,Thailand,China,China,China,Japan
EPI_ISL_421233,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_450409,China,China,China,USA,HongKong,HongKong,China,HongKong,China,China,China,China,China
EPI_ISL_447914,Thailand,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,China,Thailand,China,Thailand
EPI_ISL_410531,Japan,Thailand,Japan,Thailand,Japan,Japan,Thailand,USA,Thailand,Taiwan,Thailand,Japan,Japan
EPI_ISL_411915,China,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,China,Taiwan,China,Taiwan,Taiwan
EPI_ISL_437621,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_411927,China,Taiwan,Taiwan,Taiwan,Thailand,USA,USA,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_410044,China,Taiwan,USA,Taiwan,China,USA,USA,USA,China,China,Thailand,China,USA
EPI_ISL_414574,Germany,China,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_454915,China,China,UnitedArabEmirates,China,China,China,China,China,China,China,China,China,China
EPI_ISL_426169,China,SouthKorea,China,China,China,China,SouthKorea,China,SouthKorea,Singapore,Taiwan,China,China
EPI_ISL_410486,Singapore,SouthKorea,Australia,SouthKorea,UnitedArabEmirates,China,SouthKorea,France,SouthKorea,Australia,SouthKorea,China,France
EPI_ISL_426166,China,SouthKorea,Taiwan,SouthKorea,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,China,China
EPI_ISL_424396,USA,USA,Australia,USA,Mexico,Germany,USA,USA,Iceland,USA,USA,China,Iceland
EPI_ISL_436583,USA,USA,USA,USA,USA,China,USA,USA,China,USA,USA,China,USA
EPI_ISL_455435,USA,USA,HongKong,USA,Mexico,UnitedKingdom,USA,Australia,Mexico,USA,USA,China,Mexico
EPI_ISL_414509,Germany,Germany,Germany,Germany,Germany,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_416488,Germany,Germany,USA,Germany,Germany,China,Poland,Germany,Brazil,Germany,Germany,China,Germany
EPI_ISL_416907,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia
EPI_ISL_455791,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_455792,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_430444,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia
EPI_ISL_410537,Singapore,Singapore,Malaysia,Malaysia,Singapore,Malaysia,Singapore,Singapore,China,Japan,Malaysia,Malaysia,Malaysia
EPI_ISL_435134,China,Singapore,UnitedArabEmirates,China,UnitedArabEmirates,China,China,China,China,USA,China,China,UnitedArabEmirates
EPI_ISL_457726,China,Singapore,China,Taiwan,China,China,China,China,China,Taiwan,Taiwan,China,China
EPI_ISL_422428,Singapore,Singapore,China,Taiwan,China,China,China,China,China,Singapore,Taiwan,China,China
EPI_ISL_419655,Germany,Germany,Germany,Germany,Germany,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_414505,Germany,Germany,Germany,Germany,Germany,HongKong,Germany,Germany,Netherlands,Germany,Germany,Germany,Germany
EPI_ISL_414504,Germany,Germany,Australia,Germany,Germany,China,Germany,Germany,NewZealand,Germany,Germany,Germany,Germany
EPI_ISL_414498,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_456193,China,Germany,Thailand,Malaysia,NewZealand,Germany,Singapore,Malaysia,NewZealand,China,China,Thailand,Germany
EPI_ISL_414497,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_419242,HongKong,China,HongKong,Malaysia,HongKong,Germany,China,HongKong,China,Malaysia,China,Germany,HongKong
EPI_ISL_454942,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_419554,China,USA,USA,China,China,UnitedArabEmirates,China,HongKong,USA,USA,China,China,USA
EPI_ISL_435133,China,USA,China,Japan,China,UnitedArabEmirates,China,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,China,China,China
EPI_ISL_447253,Taiwan,Taiwan,Taiwan,USA,Taiwan,Taiwan,Taiwan,Taiwan,China,China,Taiwan,China,China
EPI_ISL_418328,Germany,Taiwan,Canada,Canada,Canada,China,Germany,Germany,NewZealand,Germany,Germany,Germany,Canada
EPI_ISL_422410,China,Taiwan,China,China,Taiwan,China,China,China,Taiwan,Taiwan,China,China,Taiwan
EPI_ISL_413561,Malaysia,USA,China,USA,USA,China,USA,USA,USA,USA,USA,China,USA
EPI_ISL_413596,Australia,Australia,Australia,Australia,China,Australia,Australia,Australia,Australia,USA,China,Australia,Australia
EPI_ISL_427643,Australia,Australia,Thailand,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_413594,Australia,Australia,Singapore,Australia,Australia,Australia,Australia,Australia,Australia,Netherlands,Australia,Australia,Australia
EPI_ISL_421654,China,China,China,China,Poland,China,China,China,Taiwan,Taiwan,China,China,China
EPI_ISL_420789,China,China,China,USA,China,China,China,USA,USA,USA,USA,China,USA
EPI_ISL_454955,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_417459,Germany,UnitedArabEmirates,Germany,Germany,Germany,Germany,Germany,Germany,UnitedArabEmirates,Germany,Germany,Germany,Germany
EPI_ISL_435142,China,UnitedArabEmirates,SouthKorea,China,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,China,China
EPI_ISL_428959,Germany,NewZealand,Luxembourg,Germany,Belgium,China,Germany,NewZealand,Malaysia,Belgium,Germany,Germany,Germany
EPI_ISL_456186,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,Germany,NewZealand,NewZealand,Germany,NewZealand,NewZealand
EPI_ISL_456221,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,Germany,NewZealand,NewZealand
EPI_ISL_420069,Germany,Sweden,Germany,Germany,Germany,Australia,Belgium,Belgium,Germany,Belgium,Germany,Germany,Germany
EPI_ISL_424703,Sweden,Sweden,USA,Sweden,HongKong,Greece,UnitedArabEmirates,Sweden,UnitedArabEmirates,Malaysia,UnitedArabEmirates,China,China
EPI_ISL_430297,China,Oman,China,China,Oman,China,China,Norway,China,China,USA,China,China
EPI_ISL_457986,China,Oman,China,UnitedArabEmirates,Oman,Oman,Oman,UnitedArabEmirates,Mexico,USA,Oman,China,China
EPI_ISL_466905,Germany,China,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_454979,China,China,China,China,China,China,Mexico,China,China,China,China,China,China
EPI_ISL_454969,China,China,China,China,China,China,China,China,China,China,UnitedArabEmirates,China,China
EPI_ISL_435127,China,China,China,UnitedArabEmirates,UnitedArabEmirates,China,China,China,China,China,UnitedArabEmirates,China,China
EPI_ISL_420151,Norway,China,Norway,China,Taiwan,Norway,Austria,Norway,China,China,China,China,Norway
EPI_ISL_455397,China,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_457997,China,Taiwan,China,China,China,Oman,Oman,China,UnitedKingdom,Oman,Oman,China,China
EPI_ISL_447621,China,Taiwan,China,China,Taiwan,Taiwan,Oman,China,Taiwan,China,Taiwan,China,Taiwan
EPI_ISL_444849,Malaysia,Belgium,Norway,USA,Taiwan,Taiwan,Greece,UnitedArabEmirates,Denmark,Denmark,Greece,China,China
EPI_ISL_462154,Germany,Belgium,Australia,Germany,Germany,China,Belgium,Belgium,NewZealand,Belgium,Germany,Germany,Germany
EPI_ISL_447919,Thailand,China,Thailand,Thailand,Thailand,HongKong,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437332,France,Turkey,France,Turkey,France,France,Turkey,Luxembourg,France,France,Luxembourg,Turkey,Turkey
EPI_ISL_437335,Turkey,Turkey,Turkey,Turkey,SaudiArabia,Morocco,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
EPI_ISL_437331,Turkey,Turkey,Turkey,Turkey,Spain,Spain,Turkey,Turkey,Italy,Turkey,Turkey,Turkey,Turkey
EPI_ISL_450528,Austria,SaudiArabia,SaudiArabia,Brazil,SaudiArabia,BosniaandHerzegovina,Brazil,SaudiArabia,Poland,SaudiArabia,Netherlands,SaudiArabia,Poland
EPI_ISL_437747,Turkey,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Poland,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_429669,France,SaudiArabia,Brazil,Brazil,SaudiArabia,France,Brazil,SaudiArabia,Australia,France,Italy,SaudiArabia,SaudiArabia
EPI_ISL_437491,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_437731,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Turkey,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_451195,Austria,Austria,China,Austria,Argentina,HongKong,Germany,Germany,Taiwan,Italy,Thailand,Austria,Uganda
EPI_ISL_437301,Austria,Austria,Poland,Austria,Austria,Austria,Austria,Austria,Netherlands,Austria,Austria,Austria,Austria
EPI_ISL_437203,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_456303,NewZealand,Austria,NewZealand,NewZealand,NewZealand,China,NewZealand,NewZealand,China,NewZealand,NewZealand,NewZealand,NewZealand
EPI_ISL_437201,Austria,Austria,Austria,Austria,Austria,UnitedArabEmirates,Austria,Austria,Austria,Luxembourg,Austria,Austria,Austria
EPI_ISL_437716,Austria,Austria,SaudiArabia,Austria,Austria,China,Austria,SaudiArabia,Austria,Senegal,Austria,Austria,Austria
EPI_ISL_414647,France,DemocraticRepublicoftheCongo,Italy,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,France,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,India,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_429739,Luxembourg,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_425140,France,DemocraticRepublicoftheCongo,Germany,Australia,Germany,Germany,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Germany,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_420853,Luxembourg,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_461473,France,France,USA,Israel,Georgia,USA,France,France,Italy,USA,Italy,USA,USA
EPI_ISL_447434,Israel,France,Israel,Israel,Israel,Israel,France,France,CzechRepublic,Israel,Israel,Israel,Israel
EPI_ISL_443258,France,France,France,France,France,France,France,France,France,France,France,France,France
EPI_ISL_426051,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426884,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426887,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_421503,France,France,USA,CzechRepublic,France,USA,France,France,CzechRepublic,France,France,France,France
EPI_ISL_450739,France,France,USA,France,France,USA,France,France,France,Vietnam,France,France,France
EPI_ISL_443315,France,France,France,France,France,CzechRepublic,France,France,France,France,France,France,France
EPI_ISL_454213,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_454197,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_457996,Australia,Oman,Australia,Belgium,Australia,Australia,Australia,Oman,Luxembourg,France,Australia,Australia,Australia
EPI_ISL_455974,Belgium,Australia,Belgium,Belgium,Australia,Belgium,Australia,Belgium,France,France,Australia,Australia,Australia
EPI_ISL_456476,Australia,Australia,Australia,Australia,Australia,Australia,Australia,France,France,Portugal,Australia,Australia,Australia
EPI_ISL_456504,Australia,Australia,France,Australia,Australia,Australia,Australia,Portugal,France,France,Australia,Australia,Australia
EPI_ISL_459906,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459896,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459893,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459899,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459900,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_445075,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459901,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459903,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459894,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_420599,Brazil,SaudiArabia,India,Colombia,Argentina,Argentina,Denmark,Canada,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Argentina
EPI_ISL_429674,Brazil,SaudiArabia,SaudiArabia,Colombia,SaudiArabia,Brazil,Luxembourg,India,SaudiArabia,Brazil,SaudiArabia,SaudiArabia,Brazil
EPI_ISL_445243,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_447054,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_437304,Turkey,SaudiArabia,Turkey,Turkey,Turkey,USA,Turkey,Turkey,SaudiArabia,Turkey,Turkey,Turkey,Turkey
EPI_ISL_437463,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,France,France,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_447153,Turkey,Belgium,Turkey,Turkey,Belgium,Colombia,Turkey,Turkey,Belgium,Turkey,Belgium,Belgium,Belgium
EPI_ISL_447155,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455972,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455969,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_427391,Turkey,Turkey,Turkey,Turkey,Turkey,Colombia,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
EPI_ISL_428346,Turkey,Turkey,Turkey,Turkey,Turkey,Colombia,Turkey,Turkey,Latvia,Turkey,Turkey,Turkey,Turkey
EPI_ISL_426285,Turkey,Turkey,Turkey,Turkey,Turkey,Belgium,Turkey,Turkey,Latvia,Turkey,Turkey,Turkey,Turkey
EPI_ISL_419300,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Colombia,Japan,Colombia,Japan,Japan,Japan
EPI_ISL_419299,Japan,Japan,Japan,Colombia,Japan,Japan,Japan,India,Japan,Colombia,Japan,Japan,Japan
EPI_ISL_447813,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,France,India,Colombia,Colombia,India,Colombia,Colombia
EPI_ISL_456248,NewZealand,Norway,Colombia,NewZealand,NewZealand,Argentina,Norway,India,NewZealand,NewZealand,Norway,USA,Norway
EPI_ISL_450350,NewZealand,Norway,France,NewZealand,NewZealand,Colombia,Norway,India,SaudiArabia,NewZealand,Norway,USA,Norway
EPI_ISL_418344,Canada,Canada,Canada,Canada,Canada,USA,Germany,Canada,Canada,Canada,India,Canada,Canada
EPI_ISL_418345,USA,Canada,Canada,Canada,SaudiArabia,USA,Canada,SaudiArabia,SaudiArabia,Canada,India,SaudiArabia,USA
EPI_ISL_418399,Colombia,Finland,India,Finland,Colombia,Colombia,Finland,Canada,Finland,Finland,Luxembourg,Finland,Finland
EPI_ISL_437894,Colombia,Finland,Japan,Japan,India,Greece,Greece,Japan,Greece,Colombia,Finland,USA,Greece
EPI_ISL_418382,Canada,Canada,Canada,Canada,Canada,France,Canada,Canada,Canada,Canada,Netherlands,Canada,Canada
EPI_ISL_435583,USA,USA,Colombia,Canada,USA,USA,Canada,Canada,Canada,USA,India,USA,USA
EPI_ISL_419298,Japan,Japan,Japan,Japan,Japan,Japan,Colombia,Japan,Colombia,Japan,France,Japan,Japan
EPI_ISL_419296,Japan,Japan,Japan,Japan,Japan,Japan,Germany,Japan,Jordan,Japan,Colombia,Japan,Japan
EPI_ISL_447769,Colombia,Colombia,Colombia,Colombia,SaudiArabia,Colombia,France,Colombia,SaudiArabia,Colombia,Chile,Colombia,Colombia
EPI_ISL_429681,Brazil,Colombia,SaudiArabia,Brazil,SaudiArabia,Brazil,France,SaudiArabia,Turkey,Brazil,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_455362,USA,USA,India,Colombia,Australia,France,France,SaudiArabia,SaudiArabia,Canada,Nigeria,Canada,Nigeria
EPI_ISL_463444,USA,USA,USA,USA,USA,USA,SouthAfrica,USA,USA,USA,SouthAfrica,USA,USA
EPI_ISL_463635,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
EPI_ISL_463338,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
EPI_ISL_447812,Colombia,Colombia,Colombia,Colombia,Canada,Colombia,Colombia,Colombia,Colombia,Colombia,Germany,Colombia,Colombia
EPI_ISL_456153,USA,Colombia,SaudiArabia,Colombia,SaudiArabia,USA,Colombia,Colombia,Colombia,SaudiArabia,Netherlands,SaudiArabia,SaudiArabia
EPI_ISL_464008,Colombia,USA,Colombia,Japan,Canada,Vietnam,France,Colombia,Canada,Colombia,Netherlands,Japan,Colombia
EPI_ISL_428798,USA,USA,SaudiArabia,Japan,USA,USA,Sweden,SaudiArabia,USA,SaudiArabia,India,SaudiArabia,USA
EPI_ISL_416521,SaudiArabia,SaudiArabia,India,Finland,SaudiArabia,SaudiArabia,SaudiArabia,India,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_463061,India,India,Colombia,India,India,India,India,India,India,India,India,India,India
EPI_ISL_466692,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,SaudiArabia,Bangladesh,SaudiArabia,Bangladesh,SaudiArabia,Bangladesh,Bangladesh
EPI_ISL_450344,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_450343,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_466639,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_466638,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_428723,Turkey,India,Turkey,India,Turkey,Turkey,India,SaudiArabia,Turkey,Turkey,Turkey,India,India
EPI_ISL_461491,SaudiArabia,India,Belgium,India,Turkey,India,India,Latvia,India,India,India,India,India
EPI_ISL_461488,India,India,SaudiArabia,India,India,India,India,India,India,India,India,India,India
EPI_ISL_435055,India,India,Colombia,India,India,India,India,India,India,India,India,India,India
EPI_ISL_451162,India,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_418401,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_445235,Finland,Austria,SaudiArabia,Finland,Sweden,Sweden,SaudiArabia,Sweden,Finland,Brazil,Finland,SaudiArabia,SaudiArabia
EPI_ISL_437202,Austria,Austria,SaudiArabia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437299,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437298,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_418406,Finland,Finland,Finland,SaudiArabia,Finland,SaudiArabia,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_418393,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_418395,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_452949,Finland,Finland,Colombia,Finland,Sweden,Sweden,India,Sweden,Finland,Colombia,Finland,Finland,Finland
EPI_ISL_418394,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_444480,India,SaudiArabia,India,Finland,India,India,India,India,India,India,India,India,India
EPI_ISL_437481,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_455313,SaudiArabia,SaudiArabia,Colombia,Finland,SaudiArabia,SaudiArabia,Malaysia,India,SaudiArabia,SaudiArabia,Bangladesh,India,SaudiArabia
EPI_ISL_437762,SaudiArabia,SaudiArabia,Turkey,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_429866,SaudiArabia,SaudiArabia,Turkey,SaudiArabia,Turkey,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,India,SaudiArabia,Turkey
EPI_ISL_437482,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_437473,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,India,SaudiArabia,SaudiArabia
EPI_ISL_428909,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,India,SaudiArabia,SaudiArabia
EPI_ISL_437474,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
