edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
Luxembourg->UnitedKingdom,0, 0, 198, 496, 0, 0
Switzerland->Latvia,100, 101, 300, 191, 0, 0
Japan->Germany,0, 200, 392, 100, 0, 0
France->Belgium,0, 100, 300, 292, 0, 0
Turkey->Australia,0, 500, 100, 89, 0, 0
Russia->Chile,200, 80, 300, 100, 0, 0
Switzerland->Hungary,0, 100, 464, 111, 0, 0
Russia->Japan,100, 200, 374, 0, 0, 0
Chile->Poland,100, 100, 474, 0, 0, 0
Luxembourg->Netherlands,0, 100, 274, 300, 0, 0
Colombia->USA,0, 86, 486, 100, 0, 0
Italy->Sweden,200, 265, 100, 100, 0, 0
Switzerland->UnitedArabEmirates,0, 100, 562, 0, 0, 0
Switzerland->Australia,100, 300, 161, 100, 0, 0
UnitedKingdom->Austria,0, 100, 456, 100, 0, 0
UnitedKingdom->Belgium,0, 100, 300, 249, 0, 0
Morocco->Switzerland,100, 0, 547, 0, 0, 0
UnitedKingdom->Russia,200, 0, 432, 0, 0, 0
Latvia->UnitedKingdom,0, 144, 100, 388, 0, 0
Netherlands->France,100, 130, 400, 0, 0, 0
India->Turkey,0, 100, 327, 200, 0, 0
Italy->Argentina,0, 12, 400, 200, 0, 0
Germany->DemocraticRepublicoftheCongo,11, 0, 400, 200, 0, 0
DemocraticRepublicoftheCongo->UnitedKingdom,0, 200, 200, 211, 0, 0
UnitedKingdom->Luxembourg,0, 107, 202, 300, 0, 0
Canada->France,0, 0, 204, 404, 0, 0
Norway->Denmark,0, 0, 604, 0, 0, 0
UnitedKingdom->Oman,0, 200, 302, 100, 0, 0
Italy->Jordan,100, 0, 200, 300, 0, 0
China->Norway,500, 100, 0, 0, 0, 0
Australia->Taiwan,200, 300, 100, 0, 0, 0
Morocco->Italy,100, 200, 200, 100, 0, 0
Taiwan->UnitedArabEmirates,200, 100, 300, 0, 0, 0
Switzerland->Spain,200, 100, 300, 0, 0, 0
Norway->BosniaandHerzegovina,100, 0, 500, 0, 0, 0
Germany->Spain,100, 100, 400, 0, 0, 0
Belgium->Spain,100, 0, 300, 200, 0, 0
Bangladesh->Germany,200, 200, 100, 100, 0, 0
Bangladesh->UnitedKingdom,100, 100, 300, 100, 0, 0
Bangladesh->SouthAfrica,100, 200, 200, 100, 0, 0
Italy->Senegal,300, 0, 300, 0, 0, 0
Netherlands->India,100, 100, 300, 100, 0, 0
China->Finland,500, 100, 0, 0, 0, 0
Poland->Netherlands,100, 0, 400, 100, 0, 0
Bangladesh->Brazil,200, 100, 100, 200, 0, 0
Switzerland->SouthAfrica,200, 100, 100, 200, 0, 0
Malaysia->Thailand,200, 400, 0, 0, 0, 0
China->Belgium,400, 200, 0, 0, 0, 0
Thailand->Taiwan,400, 200, 0, 0, 0, 0
Netherlands->Taiwan,100, 0, 400, 100, 0, 0
Sweden->NewZealand,100, 100, 100, 300, 0, 0
USA->Kazakhstan,100, 200, 100, 200, 0, 0
Denmark->Hungary,100, 0, 300, 200, 0, 0
China->Georgia,100, 500, 0, 0, 0, 0
Singapore->Japan,100, 300, 200, 0, 0, 0
China->Jordan,100, 400, 100, 0, 0, 0
SaudiArabia->Australia,0, 400, 0, 200, 0, 0
Japan->Austria,0, 400, 200, 0, 0, 0
Poland->Argentina,0, 200, 300, 100, 0, 0
Poland->Colombia,0, 100, 500, 0, 0, 0
USA->Brazil,0, 200, 300, 100, 0, 0
USA->UnitedKingdom,0, 100, 100, 400, 0, 0
USA->Turkey,0, 200, 300, 100, 0, 0
Australia->Bangladesh,0, 300, 200, 100, 0, 0
SaudiArabia->Poland,0, 200, 400, 0, 0, 0
HongKong->India,0, 600, 0, 0, 0, 0
BosniaandHerzegovina->France,0, 100, 500, 0, 0, 0
Brazil->CzechRepublic,0, 300, 300, 0, 0, 0
NewZealand->UnitedKingdom,0, 200, 200, 200, 0, 0
SaudiArabia->Jordan,0, 300, 300, 0, 0, 0
UnitedArabEmirates->Canada,0, 200, 300, 100, 0, 0
Australia->Canada,0, 200, 100, 300, 0, 0
Spain->Greece,0, 200, 400, 0, 0, 0
DemocraticRepublicoftheCongo->Senegal,0, 100, 500, 0, 0, 0
UnitedKingdom->Colombia,0, 100, 100, 400, 0, 0
Portugal->Switzerland,0, 100, 400, 100, 0, 0
Oman->Turkey,0, 500, 100, 0, 0, 0
Sweden->CzechRepublic,0, 100, 300, 200, 0, 0
Luxembourg->Norway,0, 100, 400, 100, 0, 0
Oman->Australia,0, 200, 100, 300, 0, 0
Brazil->Switzerland,0, 100, 500, 0, 0, 0
Switzerland->NewZealand,0, 100, 100, 400, 0, 0
Latvia->Bangladesh,0, 100, 400, 100, 0, 0
Kazakhstan->France,0, 100, 500, 0, 0, 0
Israel->Germany,0, 100, 400, 100, 0, 0
Austria->Italy,0, 0, 500, 100, 0, 0
Norway->Netherlands,0, 0, 500, 100, 0, 0
UnitedKingdom->UnitedArabEmirates,0, 0, 300, 300, 0, 0
Uruguay->UnitedKingdom,0, 0, 200, 400, 0, 0
France->Jordan,0, 0, 300, 300, 0, 0
Israel->Belgium,0, 0, 500, 100, 0, 0
Brazil->Germany,0, 0, 400, 200, 0, 0
Hungary->Spain,0, 0, 500, 100, 0, 0
Belgium->Switzerland,0, 0, 400, 200, 0, 0
Senegal->France,0, 0, 600, 0, 0, 0
Luxembourg->USA,0, 200, 198, 200, 0, 0
Argentina->Chile,200, 0, 396, 0, 0, 0
France->Iceland,100, 0, 396, 100, 0, 0
NewZealand->USA,0, 45, 100, 445, 0, 0
Germany->Russia,189, 0, 300, 100, 0, 0
Russia->Turkey,0, 289, 300, 0, 0, 0
Netherlands->Italy,0, 176, 403, 3, 0, 0
France->Turkey,0, 0, 385, 196, 0, 0
Chile->Australia,0, 100, 300, 180, 0, 0
Russia->DemocraticRepublicoftheCongo,0, 0, 200, 378, 0, 0
Mexico->Spain,0, 75, 500, 0, 0, 0
Chile->Argentina,0, 80, 394, 100, 0, 0
Hungary->Colombia,0, 0, 500, 73, 0, 0
HongKong->UnitedArabEmirates,85, 200, 100, 185, 0, 0
UnitedKingdom->China,278, 200, 91, 0, 0, 0
Chile->Netherlands,0, 80, 400, 80, 0, 0
UnitedKingdom->Taiwan,100, 300, 0, 156, 0, 0
NewZealand->Israel,0, 45, 400, 100, 0, 0
Latvia->Romania,0, 344, 200, 0, 0, 0
Latvia->Germany,0, 144, 300, 100, 0, 0
Netherlands->Argentina,0, 3, 200, 330, 0, 0
India->USA,0, 27, 400, 100, 0, 0
Italy->Chile,0, 0, 412, 112, 0, 0
Germany->Sweden,122, 0, 100, 300, 0, 0
Taiwan->UnitedKingdom,100, 116, 300, 0, 0, 0
USA->India,0, 215, 300, 0, 0, 0
UnitedKingdom->Argentina,0, 189, 226, 100, 0, 0
UnitedArabEmirates->USA,0, 15, 300, 200, 0, 0
Switzerland->DemocraticRepublicoftheCongo,0, 0, 311, 201, 0, 0
Chile->Belgium,0, 100, 280, 131, 0, 0
Belgium->Austria,0, 105, 300, 100, 0, 0
Vietnam->Jordan,0, 0, 404, 100, 0, 0
UnitedKingdom->Turkey,100, 100, 200, 102, 0, 0
Italy->Canada,0, 100, 202, 200, 0, 0
Switzerland->Singapore,101, 100, 100, 200, 0, 0
Austria->Latvia,100, 100, 300, 0, 0, 0
Russia->Spain,100, 0, 400, 0, 0, 0
Spain->Luxembourg,100, 100, 100, 200, 0, 0
Vietnam->Iceland,100, 100, 200, 100, 0, 0
Spain->USA,100, 100, 300, 0, 0, 0
Spain->Morocco,100, 200, 200, 0, 0, 0
Italy->Latvia,200, 0, 300, 0, 0, 0
Singapore->SouthKorea,200, 300, 0, 0, 0, 0
USA->Poland,100, 0, 200, 200, 0, 0
China->Poland,300, 100, 0, 100, 0, 0
China->SouthAfrica,500, 0, 0, 0, 0, 0
Chile->Morocco,100, 100, 100, 200, 0, 0
Mexico->UnitedKingdom,100, 0, 200, 200, 0, 0
Austria->SaudiArabia,300, 100, 0, 100, 0, 0
Japan->Taiwan,300, 100, 100, 0, 0, 0
Vietnam->Bangladesh,100, 0, 200, 200, 0, 0
Poland->SouthAfrica,200, 100, 0, 200, 0, 0
Poland->Russia,300, 0, 200, 0, 0, 0
Russia->Oman,100, 100, 100, 200, 0, 0
BosniaandHerzegovina->Luxembourg,200, 0, 200, 100, 0, 0
BosniaandHerzegovina->Germany,400, 100, 0, 0, 0, 0
Spain->DemocraticRepublicoftheCongo,100, 100, 100, 200, 0, 0
BosniaandHerzegovina->Italy,200, 0, 300, 0, 0, 0
Poland->Austria,100, 0, 100, 300, 0, 0
Jordan->Poland,100, 100, 200, 100, 0, 0
Luxembourg->Austria,100, 100, 300, 0, 0, 0
Luxembourg->BosniaandHerzegovina,100, 0, 300, 100, 0, 0
UnitedKingdom->Bangladesh,100, 0, 400, 0, 0, 0
Sweden->Brazil,100, 100, 300, 0, 0, 0
Sweden->Mexico,100, 100, 200, 100, 0, 0
Bangladesh->Netherlands,100, 0, 100, 300, 0, 0
Bangladesh->Turkey,100, 200, 0, 200, 0, 0
Turkey->Switzerland,100, 100, 300, 0, 0, 0
UnitedKingdom->DemocraticRepublicoftheCongo,200, 100, 0, 200, 0, 0
Sweden->Japan,100, 100, 200, 100, 0, 0
Sweden->Greece,100, 0, 0, 400, 0, 0
Jordan->Brazil,100, 300, 100, 0, 0, 0
Germany->Finland,100, 100, 100, 200, 0, 0
Luxembourg->Iceland,100, 100, 0, 300, 0, 0
Luxembourg->Senegal,100, 0, 400, 0, 0, 0
India->Denmark,200, 100, 200, 0, 0, 0
Brazil->Greece,100, 0, 400, 0, 0, 0
Taiwan->HongKong,400, 100, 0, 0, 0, 0
Germany->HongKong,300, 200, 0, 0, 0, 0
China->Luxembourg,100, 0, 300, 100, 0, 0
Austria->Vietnam,200, 100, 200, 0, 0, 0
Austria->Brazil,100, 100, 300, 0, 0, 0
Poland->Italy,100, 200, 100, 100, 0, 0
China->Senegal,200, 300, 0, 0, 0, 0
Switzerland->Israel,100, 0, 300, 100, 0, 0
Taiwan->Singapore,300, 200, 0, 0, 0, 0
Netherlands->HongKong,300, 100, 100, 0, 0, 0
Singapore->Turkey,200, 100, 100, 100, 0, 0
USA->Chile,100, 300, 100, 0, 0, 0
BosniaandHerzegovina->CzechRepublic,100, 100, 300, 0, 0, 0
Spain->Netherlands,100, 100, 300, 0, 0, 0
UnitedKingdom->BosniaandHerzegovina,100, 200, 200, 0, 0, 0
USA->Senegal,100, 100, 300, 0, 0, 0
USA->Nigeria,100, 200, 100, 100, 0, 0
UnitedKingdom->Vietnam,0, 100, 400, 0, 0, 0
Turkey->Canada,0, 200, 300, 0, 0, 0
Australia->Uganda,0, 500, 0, 0, 0, 0
SouthKorea->USA,0, 500, 0, 0, 0, 0
Italy->UnitedArabEmirates,0, 100, 300, 100, 0, 0
Poland->Brazil,0, 200, 200, 100, 0, 0
Brazil->Japan,0, 200, 200, 100, 0, 0
Brazil->BosniaandHerzegovina,0, 200, 300, 0, 0, 0
Russia->Singapore,0, 200, 200, 100, 0, 0
Israel->Portugal,0, 100, 300, 100, 0, 0
Malaysia->Chile,0, 100, 400, 0, 0, 0
Australia->NewZealand,0, 300, 200, 0, 0, 0
Spain->India,0, 100, 200, 200, 0, 0
DemocraticRepublicoftheCongo->Georgia,0, 200, 300, 0, 0, 0
Norway->UnitedKingdom,0, 200, 200, 100, 0, 0
Taiwan->Sweden,0, 200, 300, 0, 0, 0
Jordan->Switzerland,0, 300, 0, 200, 0, 0
Jordan->UnitedKingdom,0, 300, 200, 0, 0, 0
Brazil->Jordan,0, 200, 300, 0, 0, 0
Latvia->Sweden,0, 400, 100, 0, 0, 0
Portugal->India,0, 100, 400, 0, 0, 0
UnitedArabEmirates->Germany,0, 100, 400, 0, 0, 0
Turkey->SaudiArabia,0, 100, 0, 400, 0, 0
Portugal->Greece,0, 200, 200, 100, 0, 0
Israel->Luxembourg,0, 100, 300, 100, 0, 0
Sweden->Israel,0, 300, 0, 200, 0, 0
Russia->Brazil,0, 100, 400, 0, 0, 0
Bangladesh->USA,0, 100, 200, 200, 0, 0
SaudiArabia->Romania,0, 100, 400, 0, 0, 0
DemocraticRepublicoftheCongo->Chile,0, 100, 300, 100, 0, 0
Russia->Greece,0, 100, 300, 100, 0, 0
Taiwan->Switzerland,0, 100, 300, 100, 0, 0
Denmark->Senegal,0, 100, 200, 200, 0, 0
NewZealand->Jordan,0, 0, 300, 200, 0, 0
Portugal->Russia,0, 0, 500, 0, 0, 0
Portugal->Vietnam,0, 0, 500, 0, 0, 0
Luxembourg->Sweden,0, 0, 300, 200, 0, 0
Chile->Brazil,0, 0, 300, 200, 0, 0
France->Hungary,0, 0, 400, 100, 0, 0
Russia->Morocco,0, 0, 500, 0, 0, 0
Vietnam->Chile,0, 0, 400, 100, 0, 0
Italy->Israel,0, 0, 500, 0, 0, 0
India->Finland,0, 0, 300, 200, 0, 0
Taiwan->Russia,0, 0, 500, 0, 0, 0
Netherlands->Denmark,0, 0, 400, 100, 0, 0
Germany->BosniaandHerzegovina,0, 0, 500, 0, 0, 0
Switzerland->Denmark,0, 0, 500, 0, 0, 0
Austria->Russia,0, 0, 500, 0, 0, 0
Israel->Netherlands,0, 0, 300, 200, 0, 0
Russia->Uganda,0, 0, 300, 200, 0, 0
Netherlands->Uruguay,0, 0, 400, 100, 0, 0
Poland->Morocco,0, 0, 500, 0, 0, 0
Oman->Chile,0, 0, 200, 200, 100, 0
Oman->Austria,0, 0, 100, 400, 0, 0
NewZealand->Thailand,0, 0, 500, 0, 0, 0
Finland->India,0, 0, 100, 400, 0, 0
Finland->Colombia,0, 0, 300, 200, 0, 0
Poland->Chile,0, 0, 0, 500, 0, 0
Spain->Japan,100, 0, 398, 0, 0, 0
Spain->China,100, 100, 298, 0, 0, 0
Australia->UnitedKingdom,100, 200, 100, 97, 0, 0
France->Latvia,0, 196, 300, 0, 0, 0
Japan->CzechRepublic,0, 100, 96, 300, 0, 0
France->Georgia,0, 100, 296, 100, 0, 0
Sweden->Chile,100, 100, 294, 0, 0, 0
Hungary->Japan,0, 200, 64, 228, 0, 0
Japan->Portugal,0, 0, 392, 100, 0, 0
Switzerland->Sweden,0, 100, 291, 100, 0, 0
UnitedKingdom->Israel,89, 200, 200, 0, 0, 0
Sweden->Austria,0, 0, 188, 300, 0, 0
Luxembourg->Russia,0, 0, 381, 100, 0, 0
Luxembourg->Australia,100, 0, 280, 0, 100, 0
Luxembourg->Turkey,100, 0, 180, 198, 0, 0
Mexico->Australia,0, 75, 400, 0, 0, 0
Luxembourg->Poland,100, 0, 200, 174, 0, 0
Belgium->Australia,100, 0, 169, 205, 0, 0
Chile->Oman,0, 0, 194, 180, 100, 0
Hungary->Portugal,0, 200, 200, 73, 0, 0
Hungary->UnitedKingdom,0, 0, 100, 373, 0, 0
Luxembourg->Singapore,100, 0, 198, 174, 0, 0
UnitedKingdom->Latvia,0, 112, 100, 256, 0, 0
Australia->Thailand,127, 327, 0, 0, 0, 0
Mexico->Uruguay,0, 75, 375, 0, 0, 0
Latvia->Russia,0, 200, 244, 0, 0, 0
Latvia->Morocco,0, 100, 0, 344, 0, 0
Italy->Morocco,0, 0, 240, 200, 0, 0
Netherlands->Iceland,0, 0, 233, 200, 0, 0
Denmark->Switzerland,0, 131, 200, 100, 0, 0
Netherlands->USA,0, 30, 400, 0, 0, 0
India->Austria,0, 127, 200, 100, 0, 0
Australia->SaudiArabia,0, 427, 0, 0, 0, 0
India->NewZealand,0, 0, 127, 300, 0, 0
Italy->Turkey,100, 212, 100, 0, 0, 0
Italy->Oman,100, 0, 200, 112, 0, 0
Sweden->Luxembourg,100, 0, 200, 111, 0, 0
DemocraticRepublicoftheCongo->Australia,0, 100, 300, 11, 0, 0
Taiwan->India,0, 200, 200, 8, 0, 0
Switzerland->Georgia,0, 0, 406, 0, 0, 0
Canada->Denmark,0, 100, 204, 100, 0, 0
Norway->NewZealand,0, 0, 104, 300, 0, 0
USA->Thailand,103, 300, 0, 0, 0, 0
CzechRepublic->Portugal,0, 100, 3, 300, 0, 0
Switzerland->China,201, 0, 200, 0, 0, 0
Germany->Uganda,100, 100, 200, 0, 0, 0
Luxembourg->Brazil,200, 200, 0, 0, 0, 0
Spain->Poland,100, 200, 100, 0, 0, 0
Japan->Georgia,100, 200, 100, 0, 0, 0
Italy->HongKong,200, 200, 0, 0, 0, 0
Singapore->Sweden,200, 200, 0, 0, 0, 0
Austria->NewZealand,100, 0, 200, 100, 0, 0
Austria->USA,100, 100, 200, 0, 0, 0
Vietnam->Greece,100, 0, 300, 0, 0, 0
Vietnam->Norway,100, 0, 300, 0, 0, 0
Bangladesh->UnitedArabEmirates,300, 100, 0, 0, 0, 0
Poland->Iceland,100, 100, 200, 0, 0, 0
Poland->India,200, 0, 200, 0, 0, 0
Germany->Mexico,200, 100, 0, 100, 0, 0
France->Uganda,100, 100, 200, 0, 0, 0
Belgium->Israel,100, 0, 200, 100, 0, 0
Belgium->India,100, 100, 100, 100, 0, 0
Poland->France,100, 0, 200, 100, 0, 0
Bangladesh->France,200, 100, 100, 0, 0, 0
Sweden->India,100, 100, 100, 100, 0, 0
Switzerland->Bangladesh,100, 0, 300, 0, 0, 0
Bangladesh->Italy,300, 0, 100, 0, 0, 0
India->Germany,100, 0, 100, 200, 0, 0
Brazil->Sweden,100, 300, 0, 0, 0, 0
Sweden->Australia,100, 100, 100, 100, 0, 0
Australia->Germany,200, 200, 0, 0, 0, 0
Australia->Denmark,300, 0, 0, 100, 0, 0
India->Netherlands,100, 0, 200, 100, 0, 0
Sweden->China,100, 100, 100, 100, 0, 0
Austria->BosniaandHerzegovina,100, 100, 200, 0, 0, 0
Austria->Poland,100, 0, 200, 100, 0, 0
India->France,100, 100, 200, 0, 0, 0
UnitedKingdom->SouthKorea,100, 300, 0, 0, 0, 0
Austria->Australia,200, 0, 200, 0, 0, 0
Austria->China,300, 0, 100, 0, 0, 0
Taiwan->Netherlands,100, 0, 200, 100, 0, 0
France->India,100, 0, 200, 100, 0, 0
Singapore->Mexico,100, 200, 100, 0, 0, 0
Thailand->Japan,100, 300, 0, 0, 0, 0
Taiwan->Malaysia,200, 200, 0, 0, 0, 0
Israel->Italy,100, 300, 0, 0, 0, 0
Brazil->Russia,100, 200, 100, 0, 0, 0
Poland->Latvia,100, 100, 200, 0, 0, 0
BosniaandHerzegovina->Poland,200, 0, 100, 100, 0, 0
Norway->Morocco,100, 0, 300, 0, 0, 0
Sweden->Vietnam,100, 300, 0, 0, 0, 0
Denmark->Chile,100, 100, 0, 200, 0, 0
China->Turkey,100, 200, 100, 0, 0, 0
Norway->Georgia,100, 100, 100, 100, 0, 0
HongKong->Turkey,0, 400, 0, 0, 0, 0
India->Japan,0, 100, 200, 100, 0, 0
Malaysia->NewZealand,0, 100, 100, 200, 0, 0
France->Russia,0, 300, 100, 0, 0, 0
Malaysia->Japan,0, 400, 0, 0, 0, 0
Vietnam->USA,0, 200, 100, 100, 0, 0
Israel->Austria,0, 100, 300, 0, 0, 0
DemocraticRepublicoftheCongo->Morocco,0, 89, 311, 0, 0, 0
Singapore->Chile,0, 100, 300, 0, 0, 0
France->UnitedArabEmirates,0, 100, 300, 0, 0, 0
UnitedArabEmirates->Kazakhstan,0, 300, 0, 100, 0, 0
Russia->Denmark,0, 200, 200, 0, 0, 0
UnitedKingdom->Uruguay,0, 200, 200, 0, 0, 0
Senegal->Nigeria,0, 200, 200, 0, 0, 0
Oman->UnitedArabEmirates,0, 300, 100, 0, 0, 0
Australia->Italy,0, 300, 0, 100, 0, 0
UnitedArabEmirates->France,0, 200, 200, 0, 0, 0
Germany->Iceland,0, 200, 100, 100, 0, 0
SaudiArabia->Uganda,0, 400, 0, 0, 0, 0
UnitedKingdom->Thailand,0, 100, 300, 0, 0, 0
Japan->Spain,0, 200, 200, 0, 0, 0
Austria->Oman,0, 200, 100, 100, 0, 0
Greece->Brazil,0, 200, 200, 0, 0, 0
Jordan->Australia,0, 200, 200, 0, 0, 0
Brazil->Bangladesh,0, 200, 100, 100, 0, 0
Latvia->France,0, 100, 300, 0, 0, 0
Romania->Switzerland,0, 100, 300, 0, 0, 0
Greece->Vietnam,0, 200, 200, 0, 0, 0
Vietnam->Denmark,0, 200, 100, 100, 0, 0
Vietnam->Morocco,0, 100, 300, 0, 0, 0
Singapore->Georgia,0, 100, 300, 0, 0, 0
Denmark->Luxembourg,0, 200, 100, 100, 0, 0
Denmark->Sweden,0, 200, 0, 200, 0, 0
Sweden->Canada,0, 200, 100, 100, 0, 0
UnitedArabEmirates->Thailand,0, 200, 200, 0, 0, 0
Jordan->NewZealand,0, 100, 200, 100, 0, 0
CzechRepublic->Vietnam,0, 100, 300, 0, 0, 0
Israel->Hungary,0, 100, 200, 100, 0, 0
Japan->India,0, 100, 300, 0, 0, 0
NewZealand->Singapore,0, 100, 100, 200, 0, 0
Israel->Singapore,0, 100, 100, 200, 0, 0
Finland->Canada,0, 100, 100, 200, 0, 0
Finland->Chile,0, 100, 200, 100, 0, 0
Poland->CzechRepublic,0, 0, 300, 100, 0, 0
Malaysia->SaudiArabia,0, 0, 300, 100, 0, 0
SaudiArabia->Latvia,0, 0, 300, 100, 0, 0
SaudiArabia->Italy,0, 0, 400, 0, 0, 0
Japan->Chile,0, 0, 200, 200, 0, 0
Italy->Colombia,0, 0, 400, 0, 0, 0
China->Kazakhstan,0, 0, 400, 0, 0, 0
Luxembourg->Spain,0, 0, 300, 100, 0, 0
Netherlands->Spain,0, 0, 400, 0, 0, 0
Portugal->Austria,0, 0, 400, 0, 0, 0
Austria->Belgium,0, 0, 400, 0, 0, 0
USA->Jordan,0, 0, 400, 0, 0, 0
Sweden->Kazakhstan,0, 0, 100, 300, 0, 0
Switzerland->Canada,0, 0, 300, 100, 0, 0
DemocraticRepublicoftheCongo->BosniaandHerzegovina,0, 0, 200, 200, 0, 0
Malaysia->India,0, 0, 200, 200, 0, 0
UnitedArabEmirates->Luxembourg,0, 0, 400, 0, 0, 0
Luxembourg->Greece,0, 0, 400, 0, 0, 0
Oman->Switzerland,0, 0, 300, 100, 0, 0
Poland->Vietnam,0, 0, 300, 100, 0, 0
DemocraticRepublicoftheCongo->Poland,0, 0, 300, 100, 0, 0
Spain->Finland,0, 0, 400, 0, 0, 0
India->Portugal,0, 0, 300, 100, 0, 0
Vietnam->Hungary,0, 0, 100, 300, 0, 0
Spain->Denmark,0, 0, 400, 0, 0, 0
Argentina->Poland,0, 0, 100, 300, 0, 0
Belgium->Turkey,0, 0, 100, 300, 0, 0
DemocraticRepublicoftheCongo->Austria,0, 0, 100, 300, 0, 0
Jordan->Portugal,0, 0, 300, 100, 0, 0
Austria->Georgia,0, 0, 300, 100, 0, 0
Finland->UnitedKingdom,0, 0, 100, 300, 0, 0
Israel->Argentina,0, 0, 0, 400, 0, 0
USA->BosniaandHerzegovina,0, 0, 0, 400, 0, 0
Canada->DemocraticRepublicoftheCongo,0, 0, 0, 400, 0, 0
Morocco->UnitedKingdom,0, 0, 100, 298, 0, 0
Argentina->Belgium,200, 0, 0, 196, 0, 0
Taiwan->France,100, 96, 200, 0, 0, 0
Chile->Germany,0, 100, 294, 0, 0, 0
Colombia->France,0, 0, 386, 0, 0, 0
HongKong->Taiwan,0, 200, 0, 185, 0, 0
Canada->India,0, 185, 200, 0, 0, 0
Singapore->SaudiArabia,100, 70, 100, 100, 0, 0
Vietnam->Sweden,64, 0, 300, 0, 0, 0
Chile->Hungary,0, 0, 100, 258, 0, 0
Brazil->UnitedKingdom,100, 156, 100, 0, 0, 0
Canada->Chile,0, 100, 251, 0, 0, 0
UnitedKingdom->Hungary,0, 100, 100, 149, 0, 0
Argentina->Russia,200, 0, 122, 26, 0, 0
Hungary->India,0, 0, 246, 100, 0, 0
Chile->USA,100, 0, 145, 100, 0, 0
Chile->Greece,0, 0, 194, 151, 0, 0
Latvia->Italy,0, 44, 300, 0, 0, 0
Latvia->Switzerland,0, 0, 200, 144, 0, 0
Latvia->Greece,0, 0, 0, 344, 0, 0
Colombia->Denmark,0, 69, 100, 169, 0, 0
Netherlands->Australia,200, 0, 130, 3, 0, 0
Denmark->Finland,0, 31, 100, 200, 0, 0
Netherlands->Luxembourg,30, 200, 100, 0, 0, 0
Netherlands->Senegal,230, 0, 100, 0, 0, 0
Iceland->Switzerland,0, 0, 0, 330, 0, 0
India->Russia,100, 0, 227, 0, 0, 0
Chile->Colombia,0, 200, 100, 27, 0, 0
India->Bangladesh,0, 0, 227, 100, 0, 0
Chile->Portugal,0, 0, 200, 127, 0, 0
Argentina->Portugal,0, 96, 200, 26, 0, 0
Taiwan->Canada,100, 112, 100, 0, 0, 0
Italy->Bangladesh,0, 0, 100, 212, 0, 0
Switzerland->Mexico,0, 111, 200, 0, 0, 0
Thailand->Singapore,306, 0, 0, 0, 0, 0
Belgium->Japan,0, 5, 200, 100, 0, 0
Belgium->Oman,0, 0, 100, 205, 0, 0
Norway->CzechRepublic,200, 0, 104, 0, 0, 0
Canada->Singapore,100, 100, 100, 4, 0, 0
Canada->Norway,100, 0, 204, 0, 0, 0
China->Italy,100, 103, 100, 0, 0, 0
Luxembourg->Latvia,0, 3, 300, 0, 0, 0
CzechRepublic->UnitedKingdom,0, 0, 100, 203, 0, 0
Netherlands->Oman,0, 0, 100, 203, 0, 0
UnitedKingdom->Finland,100, 100, 0, 102, 0, 0
UnitedKingdom->France,0, 100, 202, 0, 0, 0
Taiwan->NewZealand,100, 100, 100, 0, 0, 0
Japan->France,300, 0, 0, 0, 0, 0
Hungary->Germany,100, 0, 0, 200, 0, 0
Taiwan->SouthKorea,300, 0, 0, 0, 0, 0
Taiwan->Japan,200, 100, 0, 0, 0, 0
Germany->Taiwan,200, 100, 0, 0, 0, 0
Poland->BosniaandHerzegovina,200, 100, 0, 0, 0, 0
Poland->Uganda,100, 100, 100, 0, 0, 0
Spain->Germany,100, 0, 200, 0, 0, 0
Norway->Japan,100, 200, 0, 0, 0, 0
Norway->Poland,100, 100, 100, 0, 0, 0
Norway->Iceland,100, 0, 200, 0, 0, 0
Belgium->Finland,100, 0, 100, 100, 0, 0
Switzerland->SaudiArabia,100, 100, 100, 0, 0, 0
Jordan->Belgium,100, 0, 200, 0, 0, 0
Bangladesh->Romania,100, 100, 100, 0, 0, 0
Bangladesh->Switzerland,100, 0, 100, 100, 0, 0
Vietnam->Australia,100, 0, 100, 100, 0, 0
Argentina->Denmark,200, 100, 0, 0, 0, 0
Singapore->Jordan,100, 0, 200, 0, 0, 0
UnitedKingdom->Uganda,100, 0, 100, 100, 0, 0
Sweden->Portugal,100, 100, 100, 0, 0, 0
France->Greece,100, 100, 100, 0, 0, 0
France->Japan,100, 0, 200, 0, 0, 0
Japan->Switzerland,100, 0, 200, 0, 0, 0
BosniaandHerzegovina->UnitedKingdom,100, 0, 200, 0, 0, 0
Germany->Brazil,100, 100, 100, 0, 0, 0
Netherlands->DemocraticRepublicoftheCongo,200, 0, 0, 100, 0, 0
Netherlands->BosniaandHerzegovina,100, 0, 100, 100, 0, 0
India->Belgium,200, 0, 100, 0, 0, 0
India->UnitedKingdom,100, 0, 100, 100, 0, 0
Italy->Finland,100, 0, 200, 0, 0, 0
Australia->BosniaandHerzegovina,100, 100, 100, 0, 0, 0
Austria->Luxembourg,100, 0, 200, 0, 0, 0
Germany->China,300, 0, 0, 0, 0, 0
Singapore->Canada,100, 200, 0, 0, 0, 0
Bangladesh->Jordan,100, 0, 200, 0, 0, 0
India->Luxembourg,100, 0, 200, 0, 0, 0
France->China,100, 0, 200, 0, 0, 0
Austria->France,200, 0, 100, 0, 0, 0
Austria->Malaysia,300, 0, 0, 0, 0, 0
Malaysia->China,300, 0, 0, 0, 0, 0
